county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Al, Autauga County",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Al, Baldwin County",1,3,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0
"Al, Barbour County",1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Al, Bibb County",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Al, Blount County",1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"Al, Bullock County",1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Al, Butler County",1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Al, Calhoun County",1,15,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0
"Al, Chambers County",1,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
"Al, Cherokee County",1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Chilton County",1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Al, Choctaw County",1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Al, Clarke County",1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Clay County",1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Al, Cleburne County",1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Al, Coffee County",1,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"Al, Colbert County",1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Al, Conecuh County",1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al, Coosa County",1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Al, Covington County",1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
