county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"AL, Autauga",,1,0,0,,,,0,,,,,,,,1,6,,,1
"AL, Baldwin",,0,8,1,0,1,0,0,0,0,0,6,1,0,,3,3,2,1,
"AL, Barbour",,1,1,,,,,,,,,,,,,,,,,
"AL, Bibb",,0,0,,0,,,,,,,,,,1,,1,,,
"AL, Blount",,0,1,0,,,,,0,,,,,,,,0,,,
"AL, Bullock",,0,,,,,,,,,,,,,,,1,,,
"AL, Butler",,0,0,,,,2,,0,,,0,,,,,,,,
"AL, Calhoun",0,1,1,0,,,,,,,,1,,,,,2,,,
"AL, Chambers",,1,0,,0,,1,,,,,,,,,,,,,0
"AL, Cherokee",,0,0,,,,,,,,,,,,,,,,,
"AL, Chilton",,0,,,,,,,,,,,,,,,3,,,
"AL, Choctaw",,0,0,,,,,,,,,0,,,,,,,,
"AL, Clarke",,0,0,,,,,,,,,,,,,,,,,
"AL, Clay",,0,0,,,,,,,,,,,,,,0,,,
"AL, Cleburne",,0,,,,,,,,,,,,,,,1,,,
"AL, Coffee",,2,0,0,,,,,,,,1,1,,,1,,,,
"AL, Colbert",,0,0,,0,,,,,,,,,,,,2,,,
"AL, Conecuh",,0,0,,,,0,,,,,,,,1,,,,,
"AL, Coosa",,0,,,,,,,,,,,,,,,,,,
"AL, Covington",0,0,0,0,,,,,,,,,,,,,1,,,
"AL, Crenshaw",,0,,,,,,,,,,1,,,,,,,,
"AL, Cullman",,0,0,,,,1,0,0,,,,,,,,1,,,
"AL, Dale",0,2,,,,,,,,,,2,,,,1,,0,,
"AL, Dallas",0,1,1,,1,,,0,0,,,1,,,2,,2,,,1
"AL, De Kalb",,0,0,,,,,,,,,0,,,,,,,,
"AL, Elmore",,0,,0,1,,,,,,,,,,,,3,,,1
"AL, Escambia",,0,1,,0,,,1,0,,,1,,,,,,,,
"AL, Etowah",,1,0,,1,0,,,0,,,,,,0,,2,,,
"AL, Fayette",,0,0,,,,,,,,,,,,,,0,1,,
"AL, Franklin",,0,,,,,,,,,,,,,,,1,,,
"AL, Geneva",,0,2,,,,1,,,,,6,,,,,,,,
"AL, Greene",,0,0,0,,,,,,,,,,,,,,,,
"AL, Hale",,0,0,,,,,,,,,,,,,,,,,
"AL, Henry",,0,,,,,,,,,,,,,,,1,,,
"AL, Houston",,1,1,0,,,1,,,,,8,,,,,0,0,,
"AL, Jackson",,0,0,,,1,,,,,,,,,,,,,,
"AL, Jefferson",2,12,8,0,1,3,0,6,,,3,5,1,0,1,2,6,6,,1
"AL, Lamar",,0,,,,,,,,,,,,,,,0,,,
"AL, Lauderdale",,0,,,,,,,,,,1,,,,,,,,
"AL, Lawrence",,0,0,,,,,,0,,,,,,,,,,,
"AL, Lee",0,0,0,0,0,0,0,1,,,0,0,,,,1,0,,,0
"AL, Limestone",,0,0,0,,,,1,,,,0,,,,1,,,,
"AL, Lowndes",,0,,,0,,,,,,,,,,,,,,,
"AL, Macon",,0,0,,0,,,,,,,,,,,,,0,,
"AL, Madison",0,1,0,0,,,1,,,,,1,,,,1,2,,,0
"AL, Marengo",,2,0,,,,,0,,,,1,,,,0,,,,
"AL, Marion",,1,,,,,,,,,,0,,,,,,,,
"AL, Marshall",0,0,1,0,,0,2,,,,,,,,,,,,0,
"AL, Mobile",0,5,3,13,0,3,1,3,,3,1,9,1,0,3,3,0,14,3,3
"AL, Monroe",,0,1,,,,,,,,,,,,,,1,,,
"AL, Montgomery",0,10,3,0,6,,13,1,,,,11,0,,,0,12,1,,
"AL, Morgan",,0,1,,,,,,,,,,,1,,,1,,,1
"AL, Perry",,0,,,,,,,,,,1,,,,,,,,
"AL, Pickens",,0,0,,,,,,,,,,,1,,,,,1,
"AL, Pike",,0,0,,0,,,,,,,0,,,,,0,,,
"AL, Randolph",,0,0,,,,,,,,,,,,,,,,,
"AL, Russell",0,0,,,,0,1,0,0,,,,,,1,,,,,
"AL, Shelby",0,0,2,,0,,0,,,,,1,,,,,4,1,,
"AL, St Clair",,0,0,,0,,,,,,,,,,,,,,,
"AL, Sumter",,0,0,0,,0,,,,,,,,,,1,1,,,
"AL, Talladega",0,0,1,0,,,,1,,,,,1,,,,,1,,
"AL, Tallapoosa",,0,,,,,,,,,,,,,,,,,,
"AL, Tuscaloosa",0,7,0,2,,,,4,,,1,3,4,,,3,3,2,,1
"AL, Walker",,0,0,0,,,,,,,,,,,,,,,,
"AL, Washington",,0,0,,,,,,,,,,,,,1,,,,
"AL, Wilcox",,0,1,,,0,,,,,,1,,,,,,,,
"AL, Winston",,0,0,,,,,,,,,1,,,,,,,,
"AR, Arkansas",,1,2,0,0,0,1,,,,,,,,,,,,,
"AR, Ashley",,2,0,1,0,0,0,,,,,1,,,,,,,,
"AR, Baxter",,0,0,0,,0,0,,,,,,,,,,,,,
"AR, Benton",,0,1,0,2,0,0,0,1,,,2,1,,,,,1,,
"AR, Boone",,0,0,0,1,0,,,,0,,,1,,,,,,,
"AR, Bradley",,3,1,0,1,1,0,,,4,,2,1,,4,,0,,,
"AR, Calhoun",,,,,0,,,,,,,,,,,,,,,
"AR, Carroll",,,,0,0,0,,,,,,,,,1,,,,,
"AR, Chicot",,0,0,1,,,,,,,,0,,,,,,,,
"AR, Clark",,1,0,1,,,1,,,,,1,,,,,,,1,
"AR, Clay",,0,0,,,1,,,,,,,,,,,,,,
"AR, Cleburne",,0,1,,,1,,,,,,,,,,,,,,
"AR, Cleveland",,0,0,,,,1,,,,,,,,,,,,,
"AR, Columbia",,0,1,0,1,,,,,,,4,,1,1,2,1,,0,
"AR, Conway",,0,0,,1,0,,,,,,,,,,0,,,,
"AR, Craighead",,0,0,1,,0,0,,,,,1,,,2,,,,1,
"AR, Crawford",,0,0,0,1,,,,1,,,1,1,,,,1,,,
"AR, Crittenden",,4,,0,1,0,0,1,,,,1,1,1,2,,,,,
"AR, Cross",,0,,,,,,,,,,,,,,,,,,
"AR, Dallas",,0,0,,,0,,,,,,0,,,,,,,,
"AR, Desha",,1,0,1,1,,,,,,,1,,,,,1,,,
"AR, Drew",,2,1,1,2,1,2,,,,,2,,,,0,,,,
"AR, Faulkner",,1,0,0,,0,,,,,,1,,,,0,,,0,
"AR, Franklin",,0,0,0,0,0,,,,,,,,,,,,0,,
"AR, Fulton",,,,,,0,,,,,,,,,0,,,,,
"AR, Garland",,0,,1,2,0,,,,,,,2,1,,1,,,,
