county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,lat,lon,FIPS
0,"AL, Autauga",,1.0,0.0,0.0,,,,0.0,,,,,,,,1.0,6.0,,,1.0,32.536382,-86.64449,01001
1,"AL, Baldwin",,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,3.0,3.0,2.0,1.0,,30.659218,-87.746067,01003
2,"AL, Barbour",,1.0,1.0,,,,,,,,,,,,,,,,,,31.87067,-85.405456,01005
3,"AL, Bibb",,0.0,0.0,,0.0,,,,,,,,,,1.0,,1.0,,,,33.015893,-87.127148,01007
4,"AL, Blount",,0.0,1.0,0.0,,,,,0.0,,,,,,,,0.0,,,,33.977448,-86.567246,01009
5,"AL, Bullock",,0.0,,,,,,,,,,,,,,,1.0,,,,32.101759,-85.717261,01011
6,"AL, Butler",,0.0,0.0,,,,2.0,,0.0,,,0.0,,,,,,,,,31.751667,-86.681969,01013
7,"AL, Calhoun",0.0,1.0,1.0,0.0,,,,,,,,1.0,,,,,2.0,,,,33.771706,-85.822513,01015
8,"AL, Chambers",,1.0,0.0,,0.0,,1.0,,,,,,,,,,,,,0.0,32.917943,-85.391812,01017
9,"AL, Cherokee",,0.0,0.0,,,,,,,,,,,,,,,,,,34.069515,-85.654242,01019
10,"AL, Chilton",,0.0,,,,,,,,,,,,,,,3.0,,,,32.85406,-86.726628,01021
11,"AL, Choctaw",,0.0,0.0,,,,,,,,,0.0,,,,,,,,,31.991008,-88.248887,01023
12,"AL, Clarke",,0.0,0.0,,,,,,,,,,,,,,,,,,31.685521,-87.818624,01025
13,"AL, Clay",,0.0,0.0,,,,,,,,,,,,,,0.0,,,,33.267809,-85.862051,01027
14,"AL, Cleburne",,0.0,,,,,,,,,,,,,,,1.0,,,,33.671981,-85.516109,01029
15,"AL, Coffee",,2.0,0.0,0.0,,,,,,,,1.0,1.0,,,1.0,,,,,31.402183,-85.989201,01031
16,"AL, Colbert",,0.0,0.0,,0.0,,,,,,,,,,,,2.0,,,,34.703112,-87.801457,01033
17,"AL, Conecuh",,0.0,0.0,,,,0.0,,,,,,,,1.0,,,,,,31.428293,-86.992029,01035
18,"AL, Coosa",,0.0,,,,,,,,,,,,,,,,,,,32.931445,-86.243482,01037
