,county,state,stcode,ctycode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,lat,lon,FIPS
0,Autauga County,Alabama,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,32.536382,-86.64449,01001
1,Baldwin County,Alabama,1,3,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0,0,0,30.659218,-87.746067,01003
2,Barbour County,Alabama,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31.87067,-85.405456,01005
3,Bibb County,Alabama,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,33.015893,-87.127148,01007
4,Blount County,Alabama,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,33.977448,-86.567246,01009
5,Bullock County,Alabama,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32.101759,-85.717261,01011
6,Butler County,Alabama,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31.751667,-86.681969,01013
7,Calhoun County,Alabama,1,15,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0,3,0,33.771706,-85.822513,01015
8,Chambers County,Alabama,1,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,1,32.917943,-85.391812,01017
9,Cherokee County,Alabama,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.069515,-85.654242,01019
10,Chilton County,Alabama,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,32.85406,-86.726628,01021
11,Choctaw County,Alabama,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31.991008,-88.248887,01023
12,Clarke County,Alabama,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.685521,-87.818624,01025
13,Clay County,Alabama,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,33.267809,-85.862051,01027
14,Cleburne County,Alabama,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,33.671981,-85.516109,01029
15,Coffee County,Alabama,1,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,31.402183,-85.989201,01031
16,Colbert County,Alabama,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,34.703112,-87.801457,01033
17,Conecuh County,Alabama,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.428293,-86.992029,01035
18,Coosa County,Alabama,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,32.931445,-86.243482,01037
19,Covington County,Alabama,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,31.243987,-86.448721,01039
20,Crenshaw County,Alabama,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.732826,-86.319222,01041
21,Cullman County,Alabama,1,43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,34.131923,-86.869267,01043
22,Dale County,Alabama,1,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,31.430654,-85.609476,01045
23,Dallas County,Alabama,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,32.33354,-87.114356,01047
24,DeKalb County,Alabama,1,49,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4,5,1,34.460929,-85.803992,01049
25,Elmore County,Alabama,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0,32.597229,-86.142739,01051
26,Escambia County,Alabama,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31.121748,-87.168429,01053
27,Etowah County,Alabama,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34.047638,-86.03442,01055
28,Fayette County,Alabama,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,33.732249,-87.752049,01057
29,Franklin County,Alabama,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.441988,-87.842815,01059
30,Geneva County,Alabama,1,61,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,31.090866,-85.824346,01061
31,Greene County,Alabama,1,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32.844497,-87.964201,01063
