county,state,stcode,ctycode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Autauga County,Alabama,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
Baldwin County,Alabama,1,3,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0,0,0
Barbour County,Alabama,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Bibb County,Alabama,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Blount County,Alabama,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
Bullock County,Alabama,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Butler County,Alabama,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Calhoun County,Alabama,1,15,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0,3,0
Chambers County,Alabama,1,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,1
Cherokee County,Alabama,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilton County,Alabama,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Choctaw County,Alabama,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clarke County,Alabama,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,Alabama,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Cleburne County,Alabama,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Coffee County,Alabama,1,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Colbert County,Alabama,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Conecuh County,Alabama,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coosa County,Alabama,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Covington County,Alabama,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Crenshaw County,Alabama,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cullman County,Alabama,1,43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0
Dale County,Alabama,1,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0
Dallas County,Alabama,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
DeKalb County,Alabama,1,49,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,4,5,1
Elmore County,Alabama,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,2,0
Escambia County,Alabama,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
