,county,year,infections
2711,"AL, Autauga",2002,1
5068,"AL, Autauga",2003,
6602,"AL, Autauga",2004,
11375,"AL, Autauga",2008,
19115,"AL, Autauga",2016,1
20343,"AL, Autauga",2017,6
22888,"AL, Autauga",2020,1
2712,"AL, Baldwin",2002,
5069,"AL, Baldwin",2003,8
6603,"AL, Baldwin",2004,1
7923,"AL, Baldwin",2005,
9334,"AL, Baldwin",2006,1
10561,"AL, Baldwin",2007,
11376,"AL, Baldwin",2008,
12093,"AL, Baldwin",2009,
12718,"AL, Baldwin",2010,
13291,"AL, Baldwin",2011,
14651,"AL, Baldwin",2012,6
15958,"AL, Baldwin",2013,1
16909,"AL, Baldwin",2014,
19116,"AL, Baldwin",2016,3
20344,"AL, Baldwin",2017,3
21755,"AL, Baldwin",2018,2
22390,"AL, Baldwin",2019,1
2713,"AL, Barbour",2002,1
5070,"AL, Barbour",2003,1
2714,"AL, Bibb",2002,
5071,"AL, Bibb",2003,
7924,"AL, Bibb",2005,
18017,"AL, Bibb",2015,1
20345,"AL, Bibb",2017,1
2715,"AL, Blount",2002,
5072,"AL, Blount",2003,1
6604,"AL, Blount",2004,
12094,"AL, Blount",2009,
20346,"AL, Blount",2017,
2716,"AL, Bullock",2002,
20347,"AL, Bullock",2017,1
2717,"AL, Butler",2002,
5073,"AL, Butler",2003,
10562,"AL, Butler",2007,2
12095,"AL, Butler",2009,
14652,"AL, Butler",2012,
334,"AL, Calhoun",2001,
2718,"AL, Calhoun",2002,1
5074,"AL, Calhoun",2003,1
6605,"AL, Calhoun",2004,
14653,"AL, Calhoun",2012,1
20348,"AL, Calhoun",2017,2
2719,"AL, Chambers",2002,1
5075,"AL, Chambers",2003,
7925,"AL, Chambers",2005,
10563,"AL, Chambers",2007,1
22889,"AL, Chambers",2020,
2720,"AL, Cherokee",2002,
5076,"AL, Cherokee",2003,
2721,"AL, Chilton",2002,
20349,"AL, Chilton",2017,3
2722,"AL, Choctaw",2002,
5077,"AL, Choctaw",2003,
14654,"AL, Choctaw",2012,
2723,"AL, Clarke",2002,
5078,"AL, Clarke",2003,
2724,"AL, Clay",2002,
5079,"AL, Clay",2003,
20350,"AL, Clay",2017,
2725,"AL, Cleburne",2002,
20351,"AL, Cleburne",2017,1
2726,"AL, Coffee",2002,2
5080,"AL, Coffee",2003,
6606,"AL, Coffee",2004,
14655,"AL, Coffee",2012,1
15959,"AL, Coffee",2013,1
19117,"AL, Coffee",2016,1
2727,"AL, Colbert",2002,
5081,"AL, Colbert",2003,
7926,"AL, Colbert",2005,
20352,"AL, Colbert",2017,2
2728,"AL, Conecuh",2002,
5082,"AL, Conecuh",2003,
10564,"AL, Conecuh",2007,
18018,"AL, Conecuh",2015,1
2729,"AL, Coosa",2002,
335,"AL, Covington",2001,
2730,"AL, Covington",2002,
5083,"AL, Covington",2003,
6607,"AL, Covington",2004,
20353,"AL, Covington",2017,1
2731,"AL, Crenshaw",2002,
14656,"AL, Crenshaw",2012,1
2732,"AL, Cullman",2002,
5084,"AL, Cullman",2003,
10565,"AL, Cullman",2007,1
11377,"AL, Cullman",2008,
12096,"AL, Cullman",2009,
20354,"AL, Cullman",2017,1
336,"AL, Dale",2001,
2733,"AL, Dale",2002,2
14657,"AL, Dale",2012,2
19118,"AL, Dale",2016,1
21756,"AL, Dale",2018,
337,"AL, Dallas",2001,
2734,"AL, Dallas",2002,1
5085,"AL, Dallas",2003,1
7927,"AL, Dallas",2005,1
11378,"AL, Dallas",2008,
12097,"AL, Dallas",2009,
14658,"AL, Dallas",2012,1
18019,"AL, Dallas",2015,2
20355,"AL, Dallas",2017,2
22890,"AL, Dallas",2020,1
2735,"AL, De Kalb",2002,
5086,"AL, De Kalb",2003,
14659,"AL, De Kalb",2012,
2736,"AL, Elmore",2002,
6608,"AL, Elmore",2004,
7928,"AL, Elmore",2005,1
20356,"AL, Elmore",2017,3
22891,"AL, Elmore",2020,1
2737,"AL, Escambia",2002,
5087,"AL, Escambia",2003,1
7929,"AL, Escambia",2005,
11379,"AL, Escambia",2008,1
12098,"AL, Escambia",2009,
14660,"AL, Escambia",2012,1
2738,"AL, Etowah",2002,1
5088,"AL, Etowah",2003,
7930,"AL, Etowah",2005,1
9335,"AL, Etowah",2006,
12099,"AL, Etowah",2009,
18020,"AL, Etowah",2015,
20357,"AL, Etowah",2017,2
2739,"AL, Fayette",2002,
5089,"AL, Fayette",2003,
20358,"AL, Fayette",2017,
21757,"AL, Fayette",2018,1
2740,"AL, Franklin",2002,
20359,"AL, Franklin",2017,1
2741,"AL, Geneva",2002,
5090,"AL, Geneva",2003,2
10566,"AL, Geneva",2007,1
14661,"AL, Geneva",2012,6
2742,"AL, Greene",2002,
5091,"AL, Greene",2003,
6609,"AL, Greene",2004,
2743,"AL, Hale",2002,
5092,"AL, Hale",2003,
2744,"AL, Henry",2002,
20360,"AL, Henry",2017,1
2745,"AL, Houston",2002,1
5093,"AL, Houston",2003,1
6610,"AL, Houston",2004,
10567,"AL, Houston",2007,1
14662,"AL, Houston",2012,8
20361,"AL, Houston",2017,
21758,"AL, Houston",2018,
2746,"AL, Jackson",2002,
5094,"AL, Jackson",2003,
9336,"AL, Jackson",2006,1
338,"AL, Jefferson",2001,2
2747,"AL, Jefferson",2002,12
5095,"AL, Jefferson",2003,8
6611,"AL, Jefferson",2004,
7931,"AL, Jefferson",2005,1
9337,"AL, Jefferson",2006,3
10568,"AL, Jefferson",2007,
11380,"AL, Jefferson",2008,6
13292,"AL, Jefferson",2011,3
14663,"AL, Jefferson",2012,5
15960,"AL, Jefferson",2013,1
16910,"AL, Jefferson",2014,
18021,"AL, Jefferson",2015,1
19119,"AL, Jefferson",2016,2
20362,"AL, Jefferson",2017,6
21759,"AL, Jefferson",2018,6
22892,"AL, Jefferson",2020,1
2748,"AL, Lamar",2002,
20363,"AL, Lamar",2017,
2749,"AL, Lauderdale",2002,
14664,"AL, Lauderdale",2012,1
2750,"AL, Lawrence",2002,
5096,"AL, Lawrence",2003,
12100,"AL, Lawrence",2009,
339,"AL, Lee",2001,
2751,"AL, Lee",2002,
5097,"AL, Lee",2003,
6612,"AL, Lee",2004,
7932,"AL, Lee",2005,
9338,"AL, Lee",2006,
10569,"AL, Lee",2007,
11381,"AL, Lee",2008,1
13293,"AL, Lee",2011,
14665,"AL, Lee",2012,
19120,"AL, Lee",2016,1
20364,"AL, Lee",2017,
22893,"AL, Lee",2020,
2752,"AL, Limestone",2002,
5098,"AL, Limestone",2003,
6613,"AL, Limestone",2004,
11382,"AL, Limestone",2008,1
14666,"AL, Limestone",2012,
19121,"AL, Limestone",2016,1
2753,"AL, Lowndes",2002,
7933,"AL, Lowndes",2005,
2754,"AL, Macon",2002,
5099,"AL, Macon",2003,
7934,"AL, Macon",2005,
21760,"AL, Macon",2018,
340,"AL, Madison",2001,
2755,"AL, Madison",2002,1
5100,"AL, Madison",2003,
6614,"AL, Madison",2004,
10570,"AL, Madison",2007,1
14667,"AL, Madison",2012,1
19122,"AL, Madison",2016,1
20365,"AL, Madison",2017,2
22894,"AL, Madison",2020,
2756,"AL, Marengo",2002,2
5101,"AL, Marengo",2003,
11383,"AL, Marengo",2008,
14668,"AL, Marengo",2012,1
19123,"AL, Marengo",2016,
2757,"AL, Marion",2002,1
14669,"AL, Marion",2012,
341,"AL, Marshall",2001,
2758,"AL, Marshall",2002,
5102,"AL, Marshall",2003,1
6615,"AL, Marshall",2004,
9339,"AL, Marshall",2006,
10571,"AL, Marshall",2007,2
22391,"AL, Marshall",2019,
342,"AL, Mobile",2001,
2759,"AL, Mobile",2002,5
5103,"AL, Mobile",2003,3
6616,"AL, Mobile",2004,13
7935,"AL, Mobile",2005,
9340,"AL, Mobile",2006,3
10572,"AL, Mobile",2007,1
11384,"AL, Mobile",2008,3
12719,"AL, Mobile",2010,3
13294,"AL, Mobile",2011,1
14670,"AL, Mobile",2012,9
15961,"AL, Mobile",2013,1
16911,"AL, Mobile",2014,
18022,"AL, Mobile",2015,3
19124,"AL, Mobile",2016,3
20366,"AL, Mobile",2017,
21761,"AL, Mobile",2018,14
22392,"AL, Mobile",2019,3
22895,"AL, Mobile",2020,3
2760,"AL, Monroe",2002,
5104,"AL, Monroe",2003,1
20367,"AL, Monroe",2017,1
343,"AL, Montgomery",2001,
2761,"AL, Montgomery",2002,10
5105,"AL, Montgomery",2003,3
6617,"AL, Montgomery",2004,
7936,"AL, Montgomery",2005,6
10573,"AL, Montgomery",2007,13
11385,"AL, Montgomery",2008,1
14671,"AL, Montgomery",2012,11
15962,"AL, Montgomery",2013,
19125,"AL, Montgomery",2016,
20368,"AL, Montgomery",2017,12
21762,"AL, Montgomery",2018,1
2762,"AL, Morgan",2002,
5106,"AL, Morgan",2003,1
16912,"AL, Morgan",2014,1
20369,"AL, Morgan",2017,1
22896,"AL, Morgan",2020,1
2763,"AL, Perry",2002,
14672,"AL, Perry",2012,1
2764,"AL, Pickens",2002,
5107,"AL, Pickens",2003,
16913,"AL, Pickens",2014,1
22393,"AL, Pickens",2019,1
2765,"AL, Pike",2002,
5108,"AL, Pike",2003,
7937,"AL, Pike",2005,
14673,"AL, Pike",2012,
20370,"AL, Pike",2017,
2766,"AL, Randolph",2002,
5109,"AL, Randolph",2003,
344,"AL, Russell",2001,
2767,"AL, Russell",2002,
9341,"AL, Russell",2006,
10574,"AL, Russell",2007,1
11386,"AL, Russell",2008,
12101,"AL, Russell",2009,
18023,"AL, Russell",2015,1
345,"AL, Shelby",2001,
2769,"AL, Shelby",2002,
5111,"AL, Shelby",2003,2
7939,"AL, Shelby",2005,
10575,"AL, Shelby",2007,
14674,"AL, Shelby",2012,1
20371,"AL, Shelby",2017,4
21763,"AL, Shelby",2018,1
2768,"AL, St Clair",2002,
5110,"AL, St Clair",2003,
7938,"AL, St Clair",2005,
2770,"AL, Sumter",2002,
5112,"AL, Sumter",2003,
6618,"AL, Sumter",2004,
9342,"AL, Sumter",2006,
19126,"AL, Sumter",2016,1
20372,"AL, Sumter",2017,1
346,"AL, Talladega",2001,
2771,"AL, Talladega",2002,
5113,"AL, Talladega",2003,1
6619,"AL, Talladega",2004,
11387,"AL, Talladega",2008,1
15963,"AL, Talladega",2013,1
21764,"AL, Talladega",2018,1
2772,"AL, Tallapoosa",2002,
347,"AL, Tuscaloosa",2001,
2773,"AL, Tuscaloosa",2002,7
5114,"AL, Tuscaloosa",2003,
6620,"AL, Tuscaloosa",2004,2
11388,"AL, Tuscaloosa",2008,4
