county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,lat,lon,FIPS
"AL, Autauga",,1.0,0.0,0.0,,,,0.0,,,,,,,,1.0,6.0,,,1.0,32.536382,-86.64449,1001
"AL, Baldwin",,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,3.0,3.0,2.0,1.0,,30.659218,-87.746067,1003
"AL, Barbour",,1.0,1.0,,,,,,,,,,,,,,,,,,31.87067,-85.405456,1005
"AL, Bibb",,0.0,0.0,,0.0,,,,,,,,,,1.0,,1.0,,,,33.015893,-87.127148,1007
"AL, Blount",,0.0,1.0,0.0,,,,,0.0,,,,,,,,0.0,,,,33.977448,-86.567246,1009
"AL, Bullock",,0.0,,,,,,,,,,,,,,,1.0,,,,32.101759,-85.717261,1011
"AL, Butler",,0.0,0.0,,,,2.0,,0.0,,,0.0,,,,,,,,,31.751667,-86.681969,1013
"AL, Calhoun",0.0,1.0,1.0,0.0,,,,,,,,1.0,,,,,2.0,,,,33.771706,-85.822513,1015
"AL, Chambers",,1.0,0.0,,0.0,,1.0,,,,,,,,,,,,,0.0,32.917943,-85.391812,1017
"AL, Cherokee",,0.0,0.0,,,,,,,,,,,,,,,,,,34.069515,-85.654242,1019
"AL, Chilton",,0.0,,,,,,,,,,,,,,,3.0,,,,32.85406,-86.726628,1021
"AL, Choctaw",,0.0,0.0,,,,,,,,,0.0,,,,,,,,,31.991008,-88.248887,1023
"AL, Clarke",,0.0,0.0,,,,,,,,,,,,,,,,,,31.685521,-87.818624,1025
"AL, Clay",,0.0,0.0,,,,,,,,,,,,,,0.0,,,,33.267809,-85.862051,1027
"AL, Cleburne",,0.0,,,,,,,,,,,,,,,1.0,,,,33.671981,-85.516109,1029
"AL, Coffee",,2.0,0.0,0.0,,,,,,,,1.0,1.0,,,1.0,,,,,31.402183,-85.989201,1031
"AL, Colbert",,0.0,0.0,,0.0,,,,,,,,,,,,2.0,,,,34.703112,-87.801457,1033
"AL, Conecuh",,0.0,0.0,,,,0.0,,,,,,,,1.0,,,,,,31.428293,-86.992029,1035
"AL, Coosa",,0.0,,,,,,,,,,,,,,,,,,,32.931445,-86.243482,1037
"AL, Covington",0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,31.243987,-86.448721,1039
"AL, Crenshaw",,0.0,,,,,,,,,,1.0,,,,,,,,,31.732826,-86.319222,1041
"AL, Cullman",,0.0,0.0,,,,1.0,0.0,0.0,,,,,,,,1.0,,,,34.131923,-86.869267,1043
"AL, Dale",0.0,2.0,,,,,,,,,,2.0,,,,1.0,,0.0,,,31.430654,-85.609476,1045
