County,State,State Abbreviation,Precipitation (in),Year
Autauga County,Alabama,AL,12.33,2001
Baldwin County,Alabama,AL,22.22,2001
Barbour County,Alabama,AL,8.99,2001
Bibb County,Alabama,AL,14.56,2001
Blount County,Alabama,AL,16.24,2001
Bullock County,Alabama,AL,8.31,2001
Butler County,Alabama,AL,12.50,2001
Calhoun County,Alabama,AL,12.73,2001
Chambers County,Alabama,AL,8.79,2001
Cherokee County,Alabama,AL,12.17,2001
Chilton County,Alabama,AL,12.95,2001
Choctaw County,Alabama,AL,15.02,2001
Clarke County,Alabama,AL,15.01,2001
Clay County,Alabama,AL,10.42,2001
Cleburne County,Alabama,AL,11.08,2001
Coffee County,Alabama,AL,13.56,2001
Colbert County,Alabama,AL,14.77,2001
Conecuh County,Alabama,AL,17.30,2001
Coosa County,Alabama,AL,10.95,2001
Covington County,Alabama,AL,16.44,2001
Crenshaw County,Alabama,AL,11.70,2001
Cullman County,Alabama,AL,15.54,2001
Dale County,Alabama,AL,11.90,2001
Dallas County,Alabama,AL,14.05,2001
DeKalb County,Alabama,AL,13.41,2001
Elmore County,Alabama,AL,9.95,2001
Escambia County,Alabama,AL,16.70,2001
Etowah County,Alabama,AL,13.55,2001
Fayette County,Alabama,AL,14.44,2001
Franklin County,Alabama,AL,16.60,2001
Geneva County,Alabama,AL,15.06,2001
Greene County,Alabama,AL,16.02,2001
Hale County,Alabama,AL,14.31,2001
Henry County,Alabama,AL,10.46,2001
Houston County,Alabama,AL,14.32,2001
Jackson County,Alabama,AL,16.86,2001
Jefferson County,Alabama,AL,18.21,2001
Lamar County,Alabama,AL,12.31,2001
Lauderdale County,Alabama,AL,13.94,2001
Lawrence County,Alabama,AL,15.16,2001
Lee County,Alabama,AL,8.22,2001
Limestone County,Alabama,AL,15.75,2001
Lowndes County,Alabama,AL,10.68,2001
Macon County,Alabama,AL,8.14,2001
Madison County,Alabama,AL,17.39,2001
Marengo County,Alabama,AL,14.30,2001
Marion County,Alabama,AL,14.53,2001
Marshall County,Alabama,AL,17.39,2001
Mobile County,Alabama,AL,20.67,2001
Monroe County,Alabama,AL,15.74,2001
Montgomery County,Alabama,AL,10.26,2001
Morgan County,Alabama,AL,15.54,2001
Perry County,Alabama,AL,13.17,2001
Pickens County,Alabama,AL,14.52,2001
Pike County,Alabama,AL,10.46,2001
Randolph County,Alabama,AL,9.53,2001
Russell County,Alabama,AL,8.43,2001
St. Clair County,Alabama,AL,16.05,2001
Shelby County,Alabama,AL,15.76,2001
Sumter County,Alabama,AL,17.09,2001
Talladega County,Alabama,AL,11.94,2001
Tallapoosa County,Alabama,AL,9.23,2001
Tuscaloosa County,Alabama,AL,16.35,2001
Walker County,Alabama,AL,16.34,2001
Washington County,Alabama,AL,14.37,2001
Wilcox County,Alabama,AL,12.74,2001
Winston County,Alabama,AL,15.79,2001
Apache County,Arizona,AZ,4.45,2001
Cochise County,Arizona,AZ,7.33,2001
